Inputs for 2 neurons of input layer
1.2, 0.5

Weights for 2 neurons of input layer
0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8
0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7

Weights for 8 neurons of hidden layer 1
0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8
0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7
0.8, 0.7, 0.6, 0.5, 0.4, 0.3, 0.2, 0.1
0.3, 0.5, 0.7, 0.1, 0.4, 0.2, 0.8, 0.9
0.5, 0.4, 0.6, 0.1, 0.2, 0.7, 0.9, 0.3
0.6, 0.1, 0.4, 0.7, 0.9, 0.2, 0.5, 0.8
0.2, 0.9, 0.5, 0.3, 0.6, 0.4, 0.1, 0.8
0.3, 0.6, 0.7, 0.2, 0.5, 0.8, 0.4, 0.1

Weights for 8 neurons of hidden layer 2
0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8
0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7
0.8, 0.7, 0.6, 0.5, 0.4, 0.3, 0.2, 0.1
0.3, 0.5, 0.7, 0.1, 0.4, 0.2, 0.8, 0.9
0.5, 0.4, 0.6, 0.1, 0.2, 0.7, 0.9, 0.3
0.6, 0.1, 0.4, 0.7, 0.9, 0.2, 0.5, 0.8
0.2, 0.9, 0.5, 0.3, 0.6, 0.4, 0.1, 0.8
0.3, 0.6, 0.7, 0.2, 0.5, 0.8, 0.4, 0.1

Weights for 8 neurons of output layer
0.2, 0.3, 0.5, 0.7, 0.9, 0.1, 0.4, 0.6
0.8, 0.5, 0.2, 0.1, 0.6, 0.9, 0.3, 0.4
0.6, 0.4, 0.7, 0.2, 0.8, 0.1, 0.9, 0.5
0.3, 0.9, 0.6, 0.7, 0.2, 0.4, 0.1, 0.8
0.5, 0.8, 0.3, 0.9, 0.6, 0.4, 0.2, 0.7
0.7, 0.2, 0.9, 0.4, 0.3, 0.6, 0.5, 0.1
0.9, 0.6, 0.4, 0.3, 0.1, 0.5, 0.7, 0.8
0.1, 0.7, 0.8, 0.6, 0.5, 0.9, 0.4, 0.2


